Match ID,Date,Day,Month,daymonth,Year,DateFormat,Opponent,Home/Away,Competition,Score,Result,Score Rank,HomeTeam,HomeScore,AwayTeam,AwayScore
3546,20th Oct 1974,20,10,20-10,1974,27322,Halifax,A,L,Halifax 15 - 47 St. Helens,W,1984,Halifax,15,Saints,47
4831,1st Apr 2013,1,4,1-4,2013,41365,Castleford Tigers,H,SL,St. Helens 48 - 18 Castleford Tigers,W,1980,Saints,48,Castleford,18
4866,1st May 2014,1,5,1-5,2014,41760,London Broncos,H,SL,St. Helens 48 - 18 London Broncos,W,1980,Saints,48,London B,18
99,6th Aug 2000,6,8,6-8,2000,36744,London Broncos,H,SL,St. Helens 46 - 12 London Broncos,W,1972,Saints,46,London B,12
4539,11th Mar 2005,11,3,11-3,2005,38422,Salford City Reds,H,SL,St. Helens 46 - 12 Salford City Reds,W,1972,Saints,46,Salford C,12
2916,16th Sep 1961,16,9,16-9,1961,22540,Whitehaven,H,L,St. Helens 44 - 0 Whitehaven,W,1936,Saints,44,Whitehaven,0
2698,24th Nov 1956,24,11,24-11,1956,20783,Australia,H,Tour,St. Helens 44 - 2 Australia,W,1932,Saints,44,Australia,2
2718,6th Apr 1957,6,4,6-4,1957,20916,Leeds,H,L,St. Helens 44 - 3 Leeds,W,1927,Saints,44,Leeds,3
4621,29th Apr 2007,29,4,29-4,2007,39201,Harlequins RL,A,SL,Harlequins RL 6 - 44 St. Helens,W,1900,Harlequins,6,Saints,44
2100,5th Oct 1940,5,10,5-10,1940,14889,Leigh,H,WEL,St. Helens 44 - 8 Leigh,W,1872,Saints,44,Leigh,8
4665,29th Jun 2008,29,6,29-6,2008,39628,Huddersfield Giants,H,SL,St. Helens 46 - 16 Huddersfield Giants,W,1860,Saints,46,Huddersfld,16
2324,27th Mar 1948,27,3,27-3,1948,17619,York,H,L,St. Helens 44 - 10 York,W,1836,Saints,44,York,10
4203,25th Feb 1990,25,2,25-2,1990,32929,Whitehaven,H,CC3,St. Helens 44 - 10 Whitehaven,W,1836,Saints,44,Whitehaven,10
265,10th Dec 1995,10,12,10-12,1995,35043,Halifax,H,RT4,St. Helens 46 - 18 Halifax,W,1792,Saints,46,Halifax,18
2913,2nd Sep 1961,2,9,2-9,1961,22526,Leigh,H,LC1,St. Helens 43 - 8 Leigh,W,1785,Saints,43,Leigh,8
859,25th Dec 1906,25,12,25-12,1906,2551,Liverpool City,H,L,St. Helens 42 - 0 Liverpool City,W,1764,Saints,42,Liverpool ,0
3348,19th Oct 1970,19,10,19-10,1970,25860,Bradford Northern,H,L,St. Helens 42 - 0 Bradford Northern,W,1764,Saints,42,Bradford N,0
3331,22nd Aug 1970,22,8,22-8,1970,25802,Bradford Northern,A,L,Bradford Northern 3 - 42 St. Helens,W,1755,Bradford N,3,Saints,42
463,25th Nov 1990,25,11,25-11,1990,33202,Rochdale Hornets,H,L,St. Helens 44 - 14 Rochdale Hornets,W,1740,Saints,44,Rochdale H,14
3777,9th Oct 1979,9,10,9-10,1979,29137,Rochdale Hornets,H,FT1,St. Helens 45 - 17 Rochdale Hornets,W,1736,Saints,45,Rochdale H,17
935,13th Mar 1909,13,3,13-3,1909,3360,Aberdare,A,L,Aberdare 18 - 45 St. Helens,W,1701,Aberdare,18,Saints,45
363,4th Apr 1993,4,4,4-4,1993,34063,Leeds,H,L,St. Helens 42 - 8 Leeds,W,1700,Saints,42,Leeds,8
2098,21st Sep 1940,21,9,21-9,1940,14875,Swinton,H,WEL,St. Helens 41 - 0 Swinton,W,1681,Saints,41,Swinton,0
2340,23rd Sep 1948,23,9,23-9,1948,17799,Liverpool Stanley,H,L,St. Helens 41 - 0 Liverpool Stanley,W,1681,Saints,41,Liverpool ,0
3441,25th Aug 1972,25,8,25-8,1972,26536,Huyton,H,L,St. Helens 41 - 2 Huyton,W,1677,Saints,41,Huyton,2
4075,25th Jan 1987,25,1,25-1,1987,31802,Featherstone Rovers,H,L,St. Helens 43 - 14 Featherstone Rovers,W,1653,Saints,43,Feathersto,14
376,27th Dec 1992,27,12,27-12,1992,33965,Wigan,H,L,St. Helens 41 - 6 Wigan,W,1645,Saints,41,Wigan,6
63,22nd Jul 2001,22,7,22-7,2001,37094,Halifax Blue Sox,A,SL,Halifax Blue Sox 22 - 46 St. Helens,W,1632,Halifax B,22,Saints,46
3876,28th Feb 1982,28,2,28-2,1982,30010,Whitehaven,H,L,St. Helens 41 - 7 Whitehaven,W,1632,Saints,41,Whitehaven,7
404,29th Mar 1992,29,3,29-3,1992,33692,Hull,H,L,St. Helens 42 - 12 Hull,W,1620,Saints,42,Hull,12
2785,8th Nov 1958,8,11,8-11,1958,21497,Rochdale Hornets,H,L,St. Helens 42 - 12 Rochdale Hornets,W,1620,Saints,42,Rochdale H,12
4719,20th Feb 2010,20,2,20-2,2010,40229,Catalans Dragons,A,SL,Catalans Dragons 12 - 42 St. Helens,W,1620,Catalans D,12,Saints,42
5140,23rd Jun 2022,23,6,23-6,2022,44735,Leeds Rhinos,H,SL,St. Helens 42 - 12 Leeds Rhinos,W,1620,Saints,42,Leeds R,12
386,27th Oct 1992,27,10,27-10,1992,33904,Huddersfield,H,RTP,St. Helens 44 - 18 Huddersfield,W,1612,Saints,44,Huddersfld,18
